gene_symbol,organism,,p-value,,sample,,change_type,change_evaluation_by,sex,measurement_method,statistical_method,age_units,min_age_of_control,max_age_of_control,min_age_of_experiment,max_age_of_experiment,n_of_control,n_of_experiment,link,FC,logFC,percent_of_change
CTSZ,human,,1.65e-11,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.750203014,,-24.0
LGMN,human,,1.7e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.164761921,,16.0
CST5,human,,2.06e-11,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.434992083,,-56.0
HSD17B1,human,,2.06e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.159043281,,15.0
PTK2B,human,,2.06e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.198800019,,19.0
TMED10,human,,2.16e-11,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.755796693,,-24.0
KRTDAP,human,,2.31e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.192473207,,19.0
DLL1,human,,2.34e-11,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.774646849,,-22.0
SMAD3,human,,2.37e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.26601425,,26.0
VWC2,human,,2.66e-11,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.811118913,,-18.0
TXNIP,human,,2.7e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.175731358,,17.0
HTR6,human,,3.01e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.305310849,,30.0
NTN1,human,,3.18e-11,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.847829113,,-15.0
TMEM132B,human,,3.48e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.165448818,,16.0
RSPO3,human,,3.51e-11,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.759549814,,-24.0
OLFM3,human,,3.59e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.223045791,,22.0
SERAC1,human,,3.6e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.20826366,,20.0
PPARGC1A,human,,3.75e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.153639513,,15.0
C5orf63,human,,3.93e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.171612559,,17.0
TNFSF15,human,,3.95e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.280748956,,28.0
CSMD2,human,,4.21e-11,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.818647179,,-18.0
KLK15,human,,4.24e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.242497231,,24.0
MANSC1,human,,4.23e-11,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.714484294,,-28.0
COL13A1,human,,4.65e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.341529469,,34.0
SOD3,human,,4.88e-11,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.681368426,,-31.0
STAT1,human,,5.1e-11,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.63317217,,-36.0
ARFIP1,human,,5.26e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.165257114,,16.0
EFNB3,human,,5.33e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.319585103,,31.0
COL18A1,human,,5.51e-11,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.735096861,,-26.0
EIF1AD,human,,6.22e-11,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.732437834,,-26.0
SLAMF7,human,,6.35e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.208878559,,20.0
SCARF2,human,,7.24e-11,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.864741918,,-13.0
NDRG4,human,,8.46e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.132324113,,13.0
OPCML,human,,8.88e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.185476333,,18.0
MBD1,human,,9.11e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.430392506,,43.0
MOB1A,human,,9.2e-11,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.148925233,,14.0
LRP11,human,,9.55e-11,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.734317944,,-26.0
SLC35G2,human,,"1,00E-10",,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.251071782,,25.0
TNFRSF25,human,,1.2e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.750796863,,-24.0
EMID1,human,,1.29e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.204107724,,20.0
SCGB3A1,human,,1.36e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.54791346,,-45.0
KCNG4,human,,1.39e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.173899277,,17.0
CDH12,human,,1.46e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.249485259,,24.0
NRXN3,human,,1.62e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.779286272,,-22.0
NPPB,human,,1.68e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.588291209,,-41.0
CD48,human,,1.72e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.785239833,,-21.0
CHI3L1,human,,1.73e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.460488024,,-53.0
CD63,human,,1.98e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.1366649,,13.0
RNF122,human,,2.05e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.136415943,,13.0
SLPI,human,,2.09e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.63404702,,-36.0
LSAMP,human,,2.5e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.808847255,,-19.0
CHP1,human,,2.56e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.21125759,,21.0
NUDC,human,,2.79e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.156351379,,15.0
MRC1,human,,2.89e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.752483257,,-24.0
MATN2,human,,2.94e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.748753994,,-25.0
CSF1,human,,3.05e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.713981301,,-28.0
MSTN,human,,3.12e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.206160756,,20.0
UBE2J2,human,,3.24e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.631373752,,-36.0
DLL1,human,,3.31e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.800279515,,-19.0
CST2,human,,3.39e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.535890695,,-46.0
FCN2,human,,3.47e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.173800987,,17.0
LTBP4,human,,3.47e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.779265665,,-22.0
VIT,human,,3.68e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.714251924,,-28.0
KLK11,human,,4.13e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.756458512,,-24.0
TFF3,human,,4.12e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.757213175,,-24.0
STX1A,human,,4.15e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.193389201,,19.0
NELL2,human,,4.23e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.810035121,,-18.0
DKKL1,human,,4.25e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.231545727,,23.0
GALP,human,,4.36e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.150145472,,15.0
DPY30,human,,4.63e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.784726063,,-21.0
PXDN,human,,5.27e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.612301792,,-38.0
IMPDH1,human,,5.44e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.562165448,,-43.0
MYRF,human,,5.53e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.178978197,,17.0
ADAMTS3,human,,5.58e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.207378998,,20.0
GPR26,human,,5.63e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.158910661,,15.0
FIGF,human,,5.67e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.73619012,,-26.0
CLEC3B,human,,5.74e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.255280663,,25.0
CA3,human,,5.92e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.557112864,,-44.0
PRSS27,human,,6.08e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.199951366,,19.0
NXT1,human,,6.37e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.778070888,,-22.0
BDP1,human,,6.84e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.1690592,,16.0
NEURL4,human,,7.04e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.253704994,,25.0
OMD,human,,7.7e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.735780974,,-26.0
NPS,human,,7.76e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.189798691,,18.0
G3BP2,human,,8.43e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.714049968,,-28.0
KLKB1,human,,8.5e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.232237206,,23.0
IL18BP,human,,8.68e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.761446104,,-23.0
MSMB,human,,8.65e-10,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.586272044,,-41.0
C14orf93,human,,9.05e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.185167293,,18.0
TLR4,human,,9.58e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.198578261,,19.0
LY96,human,,9.58e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.198578261,,19.0
OSMR,human,,9.62e-10,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.207309022,,20.0
MUC15,human,,1.01e-09,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.725779067,,-27.0
GABARAPL1,human,,1.1e-09,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.662463286,,-33.0
HIF1A,human,,1.14e-09,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.165998544,,16.0
EMILIN3,human,,1.17e-09,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.238954125,,23.0
NRAC,human,,1.17e-09,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.181409252,,18.0
MAMDC2,human,,1.24e-09,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.134645051,,13.0
C9,human,,1.26e-09,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.726702413,,-27.0
MGA,human,,1.27e-09,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.228609921,,22.0
C8G,human,,1.28e-09,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.164211694,,16.0
DSC1,human,,1.3e-09,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.212144508,,21.0
PI3,human,,1.3e-09,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.609978403,,-39.0
EPHB2,human,,1.45e-09,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.823814537,,-17.0
HK1,human,,1.49e-09,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.169975389,,16.0
COPS2,human,,1.57e-09,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.209753854,,20.0
ITPKA,human,,1.67e-09,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.127521715,,12.0
RMDN1,human,,1.74e-09,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.671564103,,-32.0
NCMAP,human,,1.88e-09,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.194101089,,19.0
DLK2,human,,2.04e-09,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.714335031,,-28.0
SERPINA4,human,,2.22e-09,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.151981039,,15.0
ZPLD1,human,,2.3e-09,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.227229036,,22.0
ANGPTL1,human,,2.41e-09,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.178183212,,17.0
CUBN,human,,2.68e-09,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.149442133,,14.0
